"","MI","Ischemic stroke","Death (all causes)","Transient ischemic attack (TIA)","Clinically relevant bleeding","SE","ICH"
"1928",1,2.868,1.302,0.833,0.3193,0.2598,0.3193
"1929",1,2.869,1.556,3.623,0.9678,0.1763,0.9678
"1930",1,2.867,1.605,0.02662,0.5079,4.179,0.5079
"1931",1,2.862,1.437,1.489,0.4108,1.677,0.4108
"1932",1,2.871,1.489,0.2349,0.3067,5.427,0.3067
"1933",1,2.866,1.51,0.2031,0.1692,9.361,0.1692
"1934",1,2.872,1.526,0.1241,0.004478,0.2615,0.004478
"1935",1,2.873,1.47,0.6271,1.159,32.43,1.159
"1936",1,2.872,1.568,0.5669,0.342,0.2146,0.342
"1937",1,2.867,1.818,1.983,0.4539,0.2646,0.4539
"1938",1,2.867,1.894,0.1176,0.3553,1.397,0.3553
"1939",1,2.867,1.593,0.1403,0.7922,3.952,0.7922
"1940",1,2.866,1.495,0.01051,0.2333,2.788,0.2333
"1941",1,2.869,0.9569,1.07,0.3575,3.265,0.3575
"1942",1,2.865,1.179,0.1908,0.3542,2.542,0.3542
"1943",1,2.865,0.8194,0.2108,0.5984,0.8971,0.5984
"1944",1,2.869,0.1746,0.1748,0.7639,1.497,0.7639
"1945",1,2.868,2.18,0.2619,0.3916,1.365,0.3916
"1946",1,2.866,1.782,1.357,0.3404,2.233,0.3404
"1947",1,2.865,0.7735,0.5229,0.2831,3.971,0.2831
"1948",1,2.863,1.477,0.6617,0.4059,4.966,0.4059
"1949",1,2.875,2.45,0.7326,0.4167,2.523,0.4167
"1950",1,2.878,2.137,0.6489,0.3733,1.461,0.3733
"1951",1,2.863,0.9989,0.6424,0.7411,4.598,0.7411
"1952",1,2.87,0.8679,0.5771,0.4763,1.309,0.4763
"1953",1,2.871,1.04,0.8318,0.4277,0.6236,0.4277
"1954",1,2.868,2.092,0.4885,0.4786,1.844,0.4786
"1955",1,2.872,1.712,0.9938,0.4433,4.819,0.4433
"1956",1,2.872,1.434,0.8084,0.3883,13.39,0.3883
"1957",1,2.875,1.433,1.451,0.388,0.6087,0.388
"1958",1,2.867,1.629,1.294,0.685,0.745,0.685
"1959",1,2.876,1.208,1.017,0.6617,6.544,0.6617
"1960",1,2.865,1.424,0.8619,0.2484,0.3033,0.2484
"1961",1,2.869,1.594,1.219,0.4089,1.023,0.4089
"1962",1,2.871,1.106,1.107,0.4158,4.134,0.4158
"1963",1,2.872,1.422,1.314,0.5944,1.064,0.5944
"1964",1,2.874,1.207,1.33,0.4577,0.6637,0.4577
"1965",1,2.856,1.13,1.034,0.5746,2.54,0.5746
"1966",1,2.867,1.359,1.419,0.5425,11.43,0.5425
"1967",1,2.859,1.275,1.392,0.2191,0.6356,0.2191
"1968",1,2.863,1.135,1.224,0.7014,0.2508,0.7014
