"","mu.mean.5.","mu.mean.1.","mu.mean.6.","mu.mean.7.","mu.mean.17.","mu.mean.15.","mu.mean.16."
"144",-5.0076,-4.418775,-3.21436,-6.4742,-3.3859,-5.074,-5.4346
"145",-5.0846,-4.34163,-3.22036,-5.9462,-2.7889,-6.202,-5.727
"146",-5.1436,-4.34363,-3.2998,-6.0822,-2.7869,-6.717,-5.826
"147",-4.79472,-4.4104821,-3.6048,-4.4939,-3.2527,-5.428,-5.949
"148",-4.95001,-4.4064821,-3.2328,-4.1299,-2.8197,-5.321,-5.843
"149",-4.95101,-4.2887,-3.4526,-3.10759,-3.7907,-5.664,-5.5945
"150",-4.94801,-4.2917,-3.3931,-5.844,-3.3117,-5.913,-5.5985
"151",-4.7154,-4.2907,-3.4071,-6.082,-3.0504,-5.685,-5.6111
"152",-4.92395,-4.2877,-3.39799,-3.9686,-3.0704,-5.626,-5.9369
"153",-4.88095,-4.2907,-3.23199,-3.0686,-3.4644,-5.721,-5.8339
"154",-4.93295,-4.2867,-3.08299,-2.9866,-3.1284,-6.076,-5.7671
"155",-4.88095,-4.402667,-3.31099,-3.3906,-2.8994,-5.647,-5.5731
"156",-4.95695,-4.395667,-3.31899,-4.5086,-3.4134,-5.101,-5.6991
"157",-4.93595,-4.403667,-3.45899,-5.3656,-3.26402,-4.2267,-5.4581
"158",-4.87295,-4.47224,-3.53999,-3.9726,-3.09302,-4.8757,-5.5581
"159",-4.80795,-4.46524,-3.39599,-4.2803,-3.5805,-4.5717,-5.6001
"160",-4.82895,-4.46724,-3.52599,-4.051,-3.0015,-4.3464,-5.5574
"161",-4.94195,-4.4569,-3.43999,-2.9277,-3.0885,-4.95,-5.2806
"162",-4.97595,-4.5443,-3.71199,-2.9207,-2.9605,-5.654,-5.5703
"163",-4.96395,-4.5673,-3.338,-3.0557,-3.1435,-5.082,-5.5283
"164",-4.97795,-4.7163,-3.4768,-2.8227,-2.8705,-4.691,-5.5673
"165",-4.98695,-4.7143,-3.4808,-2.3827,-3.0625,-5.473,-5.3773
"166",-4.99095,-4.7263,-3.4638,-2.1597,-2.7081,-5.95,-5.6953
"167",-4.96175,-4.6288,-3.5348,-2.7167,-2.6341,-5.639,-5.6296
"168",-5.088,-4.6228,-3.4358,-3.1997,-3.2391,-4.902,-4.8206
"169",-5.108,-4.6288,-3.3738,-2.7717,-3.0481,-5.473,-6.1176
"170",-5.238,-4.6198,-3.4188,-2.8147,-3.3921,-5.165,-5.5106
"171",-5.1292,-4.5781,-3.3768,-3.5207,-3.306,-4.483,-5.3656
"172",-5.0862,-4.5921,-3.6698,-1.5397,-3.284,-4.631,-5.4496
"173",-5.1142,-4.5851,-3.3488,-3.0897,-2.908149,-4.761,-5.6246
"174",-5.2932,-4.6181,-3.4718,-3.1127,-2.96721,-5.089,-5.5286
"175",-5.1572,-4.6081,-3.5078,-3.4067,-2.73206,-4.369,-5.7156
"176",-5.373,-4.6919,-3.5278,-3.5976,-2.8037,-4.786,-5.5846
"177",-5.296,-4.6999,-3.5328,-4.9266,-2.2937,-4.997,-5.2759
"178",-5.236,-4.6144,-3.5858,-5.2296,-2.7577,-5.184,-5.4529
"179",-5.2745,-4.558,-3.4748,-4.2846,-3.0409,-4.992,-5.0719
"180",-5.3055,-4.567,-3.7388,-3.9346,-3.3979,-4.836,-5.3399
"181",-5.2265,-4.562,-3.52187,-4.5486,-2.4887,-4.567,-5.6209
"182",-5.1538,-4.5196,-3.7789,-4.6996,-3.6137,-5.002,-5.8269
"183",-5.2018,-4.5326,-3.8069,-3.3316,-3.1395,-5.237,-5.5159
"184",-4.987,-4.5156,-3.2553,-3.635,-3.4955,-5.769,-5.7499
"185",-4.985,-4.5296,-3.5033,-2.793,-2.9825,-4.566,-5.8826
"186",-4.9387,-4.5496,-3.5584,-5.14,-2.7297,-4.728,-4.9356
"187",-4.9737,-4.5356,-3.3495,-4.959,-2.6514,-5.932,-5.9554
"188",-5.0417,-4.7163,-3.5785,-4.982,-3.2744,-5.431,-4.9514
"189",-5.1347,-4.5945,-3.4685,-4.447,-3.2948,-5.908,-5.0834
"190",-5.0787,-4.5895,-3.5505,-3.896,-3.3268,-5.844,-5.4324
"191",-5.1078,-4.5691,-3.4832,-4.563,-2.8688,-5.226,-5.4634
"192",-5.1318,-4.5711,-3.5102,-3.5275,-3.0063,-4.134,-5.5494
"193",-5.1908,-4.5691,-3.2572,-3.5509,-3.1813,-5.037,-5.1544
"194",-5.1488,-4.4963,-3.4552,-3.1309,-2.7583,-4.488,-5.9614
"195",-5.0478,-4.5063,-3.5772,-4.4053,-2.9273,-4.924,-5.1492
"196",-5.0138,-4.5193,-3.2792,-4.6268,-3.5703,-5.224,-4.6712
"197",-5.1198,-4.5193,-3.2322,-4.3688,-2.8333,-5.421,-5.1438
"198",-4.9368,-4.5243,-3.43868,-5.478,-2.9443,-4.868,-5.6388
"199",-5.0118,-4.5273,-3.20468,-5.232,-3.0453,-4.646,-5.8988
"200",-5.0828,-4.5303,-3.05368,-5.436,-3.3253,-4.607,-5.4838
"201",-4.9428,-4.5228,-3.19868,-5.339,-3.1832,-4.346,-5.9248
"202",-5.0828,-4.5338,-3.17368,-5.163,-3.0662,-5.451,-5.9088
"203",-5.0728,-4.52921,-3.69168,-5.158,-2.8052,-4.31,-5.537
"204",-5.0358,-4.52321,-3.22768,-5.625,-2.6012,-5.382,-5.635
"205",-5.0767,-4.52121,-3.41968,-6.028,-3.1422,-4.889,-5.1757
"206",-4.8682,-4.52321,-3.43368,-5.524,-2.7352,-4.3417,-5.4097
"207",-4.9492,-4.51409,-3.51668,-5.769,-3.2942,-5.0777,-5.5717
"208",-4.9932,-4.50309,-3.21168,-5.1298,-3.3572,-4.3258,-5.767
"209",-4.9842,-4.53409,-3.38868,-6.801,-2.6917,-5.6518,-5.926
"210",-4.9662,-4.47709,-3.10251,-8.107,-2.5084,-4.8328,-5.828
"211",-4.9472,-4.51509,-3.40451,-7.963,-3.4614,-4.4798,-5.462
"212",-5.0851,-4.51309,-3.48451,-7.498,-3.2694,-4.4728,-5.3131
"213",-4.8966,-4.48423,-3.16751,-5.801,-3.0279,-5.7148,-5.5431
"214",-4.9776,-4.45623,-3.22351,-6.166,-3.2739,-5.814,-5.2791
"215",-5.1772,-4.45523,-3.19751,-5.955,-3.5969,-4.995,-5.1521
"216",-5.1842,-4.45823,-3.45051,-6.163,-2.6419,-5.398,-5.0971
"217",-5.0226,-4.39588,-3.19351,-5.989,-3.315,-4.387,-5.8931
"218",-4.8866,-4.37888,-3.27051,-6.709,-1.524,-5.142,-5.5701
"219",-5.0136,-4.41288,-3.41751,-6.655,-3.001,-5.51,-5.5771
"220",-4.9211,-4.40688,-3.22251,-6.823,-2.509,-5.214,-5.7904
"221",-4.9431,-4.43288,-3.45651,-6.721,-2.4433,-5.245,-5.2454
"222",-4.9971,-4.35388,-3.09351,-6.389,-3.0003,-4.721,-5.7354
"223",-5.0291,-4.5691,-3.18451,-6.066,-2.8683,-4.84,-5.8774
"224",-5.0661,-4.42872,-3.06251,-4.9717,-2.8893,-5.567,-5.891
"225",-5.1141,-4.44972,-3.47151,-4.7057,-3.5525,-4.988,-5.901
"226",-5.0506,-4.40372,-3.27551,-5.0207,-2.9289,-5.229,-5.437
"227",-4.9676,-4.4909,-3.42451,-4.8727,-3.2529,-5.748,-5.791
"228",-4.9962,-4.4969,-3.27751,-3.7527,-2.1709,-5.802,-5.752
"229",-4.8822,-4.4319,-3.31267,-4.5347,-2.9939,-5.329,-5.6576
"230",-5.0292,-4.48996,-3.33467,-3.1957,-2.9509,-5.653,-5.8056
"231",-4.9692,-4.45396,-3.50896,-2.3357,-3.0359,-6.67,-5.8879
"232",-5.0312,-4.52396,-3.55996,-0.5907,-3.5609,-6.128,-5.3609
"233",-5.0822,-4.51797,-3.40801,-1.8497,-3.5939,-5.51,-5.8349
"234",-4.9786,-4.59797,-3.39801,-2.2677,-3.1329,-5.306,-5.9775
"235",-4.9756,-4.47263,-3.47401,-2.5907,-2.8199,-4.873,-5.5315
"236",-4.9796,-4.48563,-3.53501,-3.2592,-3.0779,-5.537,-6.1195
"237",-4.9716,-4.45263,-3.41639,-3.0732,-2.6959,-5.429,-5.8635
"238",-5.0817,-4.45463,-3.48439,-3.5272,-2.9718,-4.747,-5.9839
"239",-5.1087,-4.42963,-3.4081,-5.008,-2.9948,-4.411,-5.8399
"240",-5.1817,-4.37663,-3.1501,-5.098,-3.2568,-5.198,-5.6509
"241",-5.0227,-4.46963,-3.4951,-6.592,-2.7628,-4.671,-5.3259
"242",-5.0627,-4.51963,-3.3901,-4.8486,-2.9778,-5.607,-5.2689
"243",-5.0667,-4.49163,-3.4364,-3.6046,-2.9112,-4.773,-4.9099
"244",-4.71902,-4.43363,-3.2744,-2.6385,-2.8402,-5.56,-5.7419
"245",-4.7133,-4.52588,-3.3155,-4.9815,-3.3562,-5.777,-5.8099
"246",-4.9383,-4.7173,-3.2565,-3.8355,-2.6452,-4.998,-5.6239
"247",-4.9393,-4.7553,-3.4305,-3.9502,-3.4002,-5.992,-5.0959
"248",-5.0293,-4.58139,-3.3565,-3.2212,-3.4482,-5.767,-4.8279
"249",-4.9273,-4.43291,-3.6055,-5.0122,-3.6542,-5.875,-4.8879
"250",-4.9605,-4.344722,-2.9954,-4.4858,-3.6182,-5.114,-5.3279
"251",-5.1545,-4.341722,-3.8468,-4.1238,-2.5741,-4.898,-5.1619
"252",-5.0565,-4.331722,-3.4738,-3.8068,-4.3498,-4.955,-5.6912
"253",-4.9325,-4.314722,-3.5618,-3.5794,-3.2158,-4.933,-5.6262
"254",-4.9445,-4.42729,-3.5822,-2.9489,-2.2084,-4.776,-5.4232
"255",-5.0655,-4.47329,-3.4792,-3.4679,-3.6814,-5.075,-5.2222
"256",-4.9055,-4.30529,-3.0042,-5.593,-3.0544,-4.631,-5.6662
"257",-4.8145,-4.57629,-3.2182,-6.285,-3.3224,-4.796,-5.5732
"258",-4.8915,-4.51929,-3.4672,-6.501,-4.0884,-4.039,-5.6352
"259",-5.0655,-4.56729,-3.7772,-5.1356,-3.046,-5.006,-5.5102
"260",-4.9375,-4.554648,-3.4782,-5.0496,-3.288,-4.042,-5.5182
"261",-5.1484,-4.535648,-3.7087,-5.0986,-3.874,-4.5017,-5.5372
"262",-5.2394,-4.593648,-3.0447,-5.1506,-3.023,-3.8119,-5.8542
"263",-5.2354,-4.539648,-3.6467,-4.9146,-3.089,-4.8849,-5.6942
"264",-5.1944,-4.50347,-3.3267,-3.1796,-3.385,-4.8569,-5.8462
"265",-5.2214,-4.43347,-3.8247,-3.4656,-2.8,-5.3009,-5.7378
"266",-5.1754,-4.3023,-3.6327,-4.5139,-2.49,-4.6449,-5.4758
"267",-5.2264,-4.58403,-3.2217,-4.8139,-2.8335,-4.8279,-5.5808
"268",-5.2836,-4.55003,-3.1267,-3.1263,-3.044,-3.9739,-5.7208
"269",-5.2156,-4.53703,-3.3367,-3.1853,-3.1683,-3.3061,-5.8608
"270",-5.1178,-4.57503,-3.2277,-1.6093,-3.2713,-3.8611,-5.7378
"271",-5.1408,-4.58803,-3.3527,-3.8785,-3.2603,-4.5086,-5.1988
"272",-5.1508,-4.47957,-3.5392,-2.6262,-2.9083,-4.5098,-5.4808
"273",-5.0618,-4.49657,-3.7282,-3.7182,-3.2393,-3.9528,-5.4698
"274",-5.1218,-4.45457,-3.4852,-3.1612,-3.3733,-4.2671,-5.6388
"275",-5.1138,-4.47157,-3.7101,-3.2932,-3.2973,-3.3101,-5.5038
"276",-5.1578,-4.42257,-3.3271,-6.724,-1.9023,-4.4781,-5.4838
"277",-5.1028,-4.25757,-3.4501,-3.6242,-2.2033,-5.0482,-6.0538
"278",-5.0808,-4.27757,-3.6641,-3.5832,-2.6461,-5.4232,-6.0408
"279",-5.0688,-4.459989,-3.5301,-3.0052,-2.3331,-4.9986,-6.0458
"280",-5.1278,-4.564989,-3.3761,-3.0322,-2.6561,-5.0136,-5.8768
"281",-5.0848,-4.48057,-3.3771,-2.6972,-2.8091,-4.9834,-5.6806
"282",-5.1138,-4.43957,-3.3731,-4.591,-2.2324,-4.8774,-5.2636
"283",-5.167,-4.626552,-3.3031,-5.736,-3.1554,-4.8493,-5.6558
"284",-5.078,-4.598552,-3.2169,-5.23,-3.0979,-5.2313,-6.0168
"285",-5.228,-4.638552,-3.3089,-3.6448,-3.2519,-4.8513,-5.4898
"286",-5.168,-4.81052,-3.5569,-3.1038,-2.8945,-4.0673,-5.6828
"287",-4.9174,-4.62152,-3.4749,-3.1138,-2.465,-5.3104,-5.8128
"288",-4.9094,-4.79094,-3.1589,-3.4198,-2.718,-4.8654,-5.7038
"289",-4.8764,-4.74394,-3.63814,-3.8978,-3.4503,-4.3653,-5.5758
"290",-4.9824,-4.72694,-3.47814,-3.8838,-2.4273,-4.2777,-5.4568
"291",-5.0074,-4.61094,-3.29314,-3.5428,-2.5638,-4.7301,-5.4786
"292",-5.0074,-4.58794,-3.17268,-5.983,-3.0088,-4.5121,-5.6396
"293",-4.9984,-4.64594,-3.27068,-5.59,-3.0138,-4.4143,-5.4991
"294",-4.91965,-4.57634,-3.3785,-6.728,-3.2068,-4.9847,-5.3351
"295",-4.95965,-4.65884,-3.3965,-6.52,-2.6428,-5.4151,-5.7393
"296",-4.92265,-4.65884,-3.19904,-6.043,-2.7128,-5.7072,-5.4053
"297",-4.94765,-4.61184,-3.079598,-6.459,-2.2808,-4.9262,-5.7773
"298",-4.78365,-4.60584,-3.249598,-5.639,-2.4358,-4.1332,-5.7303
"299",-5.01465,-4.52521,-3.12337,-6.027,-3.0768,-4.8262,-5.5704
"300",-4.78865,-4.57121,-3.22237,-6.306,-3.0368,-4.9372,-5.4669
"301",-5.07065,-4.58821,-3.14737,-6.61,-3.1568,-4.7351,-5.6215
"302",-4.71982,-4.65721,-3.20237,-6.721,-3.2208,-4.6881,-5.5655
"303",-5.0201,-4.48421,-3.30984,-6.55,-3.6278,-4.9211,-4.9882
"304",-4.8161,-4.59314,-3.19584,-5.3067,-3.6261,-4.5031,-5.6272
"305",-4.7651,-4.62114,-3.24784,-3.63,-3.5021,-5.2751,-5.6014
"306",-4.9601,-4.54114,-3.28684,-3.802,-3.2541,-5.0451,-5.5684
"307",-5.0961,-4.46414,-3.19384,-5.81,-2.7807,-4.3401,-5.5464
"308",-5.1931,-4.54308,-3.30991,-5.388,-3.1097,-4.7311,-5.3054
"309",-5.0101,-4.582243,-3.72991,-4.785,-2.8007,-3.4301,-5.2921
"310",-5.1431,-4.448243,-3.4012,-5.051,-3.4483,-4.6781,-5.3817
"311",-5.0631,-4.55667,-3.3032,-5.97,-3.0103,-4.6487,-4.8937
"312",-5.0441,-4.72267,-3.5032,-5.934,-3.1373,-5.1547,-5.4687
"313",-5.0211,-4.58532,-3.3572,-6.206,-3.1383,-5.1425,-5.1617
"314",-5.0391,-4.70132,-3.3802,-6.234,-2.331,-4.9985,-5.2147
